seq_id,n_frames,rmse,drift_slope,accum_drift,early_error,late_error,curvature,entropy,runtime_s,difficulty_score,cluster
0,4541,0.27059934395350105,0.0174774806538104,97.18750861052168,237.2565332294809,315.5692712003859,0.29151135421004426,3.55140518930715,0.042957305908203125,0.2582,Medium
1,1101,0.521245362034514,2.2234282867061137,1980.5496517865379,564.4698174320488,1837.300956680848,0.004889548213350114,2.1640555763122418,0.02442789077758789,0.7927,Hard
2,4661,0.23286629219540367,0.11997491208610056,924.4663715177445,527.5663793721486,702.4657404420053,0.012953702613602704,3.9450495296116586,0.060532331466674805,0.4439,Medium
3,801,0.2271756678402531,0.7012233892039874,512.2345893115936,112.1301068253801,400.1676740495044,0.04232554967506766,1.8388374300621146,0.017693758010864258,0.2225,Easy
4,271,0.10345240693769048,1.444954292344235,393.63397279431376,91.91557954986385,286.78188509277726,0.0008570621661636884,5.343315408362293e-13,0.013135910034179688,0.1365,Easy
5,2761,0.29166640083491924,0.0015460228294470555,370.451337964552,201.8553288058386,182.6662682197128,3.846832115202413,3.279244546871545,0.02874469757080078,0.2743,Medium
6,1101,0.290537120991917,-0.012031636533224678,300.29989883557164,170.66516666055557,124.38717018727681,0.011813079694174417,1.6310089657858406,0.0969691276550293,0.1707,Easy
7,1101,0.32072976069021497,-0.02466830353228673,9.512463379552008,118.53261037244084,100.74709841662559,23.486753188066885,3.5964972506012174,0.03174591064453125,0.3555,Medium
8,4071,0.2858587228851284,0.03345945627442296,311.9538385520919,238.21314361053274,329.47918109493236,0.8135057499075762,3.3006810009636633,0.03539109230041504,0.2755,Medium
9,1591,0.26110341431967626,0.03301359275556369,9.269732498625244,289.9858124808046,345.0073890421107,0.01344004589528422,3.6916113400812787,0.023584365844726562,0.2713,Medium
10,1201,0.3335400094657212,0.5557218107183808,545.5756543422627,217.22833507559045,572.9387320409012,0.05215037485545357,2.793286149115046,0.018326520919799805,0.3326,Medium
